group,replicate,fastq_1,fastq_2,antibody,control
cR_H9_EOS_d0,1,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_CAACTA_W0_H3K4me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_CAACTA_W0_H3K4me3_merged_L001_R2.fastq.gz,H3K4me3,INPUT
cR_H9_EOS_d0,2,/scratch/data/raw/chipseq_batch_2/H3K4me3/lane2_GTCCGC_Z0_H3K4me3_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K4me3/lane2_GTCCGC_Z0_H3K4me3_merged_L002_R2.fastq.gz,H3K4me3,INPUT
cR_H9_EOS_d10,1,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_GATCAG_W10_H3K4me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_GATCAG_W10_H3K4me3_merged_L001_R2.fastq.gz,H3K4me3,INPUT
cR_H9_EOS_d10,2,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_GCGCTA_Z10_H3K4me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_GCGCTA_Z10_H3K4me3_merged_L001_R2.fastq.gz,H3K4me3,INPUT
cR_H9_EOS_d20E,1,/scratch/data/raw/chipseq_batch_2/H3K4me3/lane2_ACTTGA_W27E_H3K4me3_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K4me3/lane2_ACTTGA_W27E_H3K4me3_merged_L002_R2.fastq.gz,H3K4me3,INPUT
cR_H9_EOS_d20E,2,/scratch/data/raw/chipseq_batch_2/H3K4me3/lane2_GAGTGG_Z23E_H3K4me3_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K4me3/lane2_GAGTGG_Z23E_H3K4me3_merged_L002_R2.fastq.gz,H3K4me3,INPUT
cR_H9_EOS_d20X,1,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_TCATTC_Z23X_H3K4me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_TCATTC_Z23X_H3K4me3_merged_L001_R2.fastq.gz,H3K4me3,INPUT
cR_H9_EOS_d20X,2,/scratch/data/raw/chipseq_batch_2/H3K4me3/lane2_CAGATC_W28X_H3K4me3_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K4me3/lane2_CAGATC_W28X_H3K4me3_merged_L002_R2.fastq.gz,H3K4me3,INPUT
cR_H9_EOS_d3,1,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_CAGGCG_W3_H3K4me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_CAGGCG_W3_H3K4me3_merged_L001_R2.fastq.gz,H3K4me3,INPUT
cR_H9_EOS_d3,2,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_CGGAAT_Z3_H3K4me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_CGGAAT_Z3_H3K4me3_merged_L001_R2.fastq.gz,H3K4me3,INPUT
H9_EOS,1,/scratch/data/raw/chipseq_batch_2/H3K4me3/lane2_AGTCAA_H9-3_H3K4me3_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K4me3/lane2_AGTCAA_H9-3_H3K4me3_merged_L002_R2.fastq.gz,H3K4me3,INPUT
H9_EOS,2,/scratch/data/raw/chipseq_batch_2/H3K4me3/lane2_CGATGT_H9-1_H3K4me3_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/H3K4me3/lane2_CGATGT_H9-1_H3K4me3_merged_L002_R2.fastq.gz,H3K4me3,INPUT
HNES1_d0,1,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_AGTCAA_C0_H3K4me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_AGTCAA_C0_H3K4me3_merged_L001_R2.fastq.gz,H3K4me3,INPUT
HNES1_d0,2,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_GTTTCG_D0_H3K4me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_GTTTCG_D0_H3K4me3_merged_L001_R2.fastq.gz,H3K4me3,INPUT
HNES1_d10,1,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_ACTGAT_D10_H3K4me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_ACTGAT_D10_H3K4me3_merged_L001_R2.fastq.gz,H3K4me3,INPUT
HNES1_d10,2,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_GTAGAG_C10_H3K4me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_GTAGAG_C10_H3K4me3_merged_L001_R2.fastq.gz,H3K4me3,INPUT
HNES1_d3,1,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_CTTGTA_D3_H3K4me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_CTTGTA_D3_H3K4me3_merged_L001_R2.fastq.gz,H3K4me3,INPUT
HNES1_d3,2,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_TGACCA_C3_H3K4me3_merged_L001_R1.fastq.gz,/scratch/data/raw/chipseq_batch_1/H3K4me3/lane1_TGACCA_C3_H3K4me3_merged_L001_R2.fastq.gz,H3K4me3,INPUT
INPUT,1,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CAAAAG_J0_INPUT_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CAAAAG_J0_INPUT_merged_L002_R2.fastq.gz,,
INPUT,1,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CAACTA_J23E_INPUT_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CAACTA_J23E_INPUT_merged_L002_R2.fastq.gz,,
INPUT,1,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CACCGG_H9-3_INPUT_merged_L002_R1.fastq.gz,/scratch/data/raw/chipseq_batch_2/INPUT/lane2_CACCGG_H9-3_INPUT_merged_L002_R2.fastq.gz,,
